SoPlex version 4.0.0 [mode: optimized] [precision: 8 byte] [rational: GMP 6.1.2] [githash: 82cab95]
Copyright (c) 1996-2018 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

int:simplifier = 0
int:scaler = 5
int:readmode = 1
int:solvemode = 2
int:checkmode = 2
real:feastol = 1.00000000e-20
real:opttol = 1.00000000e-20
real:timelimit = 3.00000000e+02

Reading (rational) LP file <Simulation.lp> . . .
Reading took 0.88 seconds.

LP has 16976 rows 21424 columns and 116419 nonzeros.

Initial floating-point solve . . .
Least squares LP scaling

type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    4.5 |   12116 |    62 | 9.88e-03 |  1.14e+07 | 1.12601728e+00
  L  |    4.7 |   12314 |    63 | 9.98e-03 |  1.65e+06 | 1.07442208e+00
  L  |    4.9 |   12512 |    64 | 1.03e-02 |  7.80e+07 | 1.05916766e+00
  L  |    5.2 |   12710 |    65 | 1.04e-02 |  5.04e+08 | 1.05614060e+00
  L  |    5.3 |   12906 |    66 | 1.05e-02 |  7.15e+06 | 1.05252921e+00
  L  |    5.5 |   13105 |    67 | 1.06e-02 |  1.84e+06 | 1.05243639e+00
  L  |    5.7 |   13300 |    68 | 1.07e-02 |  3.51e+04 | 1.05780626e+00
  L  |    5.9 |   13495 |    69 | 1.11e-02 |  1.20e+07 | 1.05675953e+00
  L  |    6.1 |   13683 |    70 | 1.14e-02 |  2.37e+07 | 1.06101071e+00
  L  |    6.2 |   13881 |    71 | 1.15e-02 |  2.39e+07 | 1.06093524e+00
  L  |    6.4 |   14074 |    72 | 1.16e-02 |  1.39e+05 | 1.06050927e+00
  L  |    6.7 |   14263 |    73 | 1.18e-02 |  5.87e+05 | 1.05922368e+00
  L  |    6.9 |   14449 |    74 | 1.21e-02 |  5.87e+05 | 1.05236530e+00
  L  |    7.1 |   14640 |    75 | 1.26e-02 |  5.48e+02 | 1.02441640e+00
  L  |    7.3 |   14828 |    76 | 1.30e-02 |  6.02e+03 | 1.03504909e+00
  L  |    7.5 |   15010 |    77 | 1.31e-02 |  6.81e+03 | 1.03498696e+00
  L  |    7.7 |   15185 |    77 | 1.33e-02 |  2.16e+04 | 1.03342273e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    8.0 |   15371 |    78 | 1.43e-02 |  7.18e+02 | 1.03258351e+00
  L  |    8.2 |   15537 |    79 | 1.46e-02 |  3.51e+03 | 1.03146162e+00
  L  |    8.4 |   15711 |    80 | 1.66e-02 |  1.77e+02 | 1.03035749e+00
  L  |    8.6 |   15880 |    81 | 1.84e-02 |  3.48e+02 | 1.02949373e+00
  L  |    8.8 |   16052 |    82 | 2.25e-02 |  1.72e+02 | 1.04362927e+00
  L  |    9.0 |   16202 |    83 | 2.71e-02 |  9.63e+01 | 1.04108765e+00
  L  |    9.2 |   16298 |    83 | 5.97e-02 |  2.34e+02 | 1.03234028e+00
  L  |    9.4 |   16380 |    83 | 1.48e-01 |  1.39e+02 | 9.85632736e-01
  L  |    9.5 |   16479 |    84 | 5.37e-01 |  5.07e+02 | 8.56431806e-01
  L  |    9.7 |   16552 |    84 | 8.70e-01 |  4.30e+02 | 7.10823526e-01
  L  |    9.8 |   16611 |    85 | 1.73e+00 |  2.46e+02 | 4.17898779e-01
  L  |   10.0 |   16685 |    85 | 2.98e+00 |  8.77e-01 | 4.52693922e-02
  L  |   10.1 |   16764 |    85 | 4.93e+00 |  1.42e-01 | 4.28438467e-02
  L  |   10.3 |   16823 |    86 | 6.79e+00 |  1.63e-04 | 4.12649883e-02
  L  |   10.4 |   16906 |    86 | 7.44e+00 |  1.53e-04 | 4.01059998e-02
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  E  |   10.7 |   16988 |    97 | 9.12e-09 |  2.59e+08 | 1.96721518e-03
  E  |   10.7 |   16998 |    97 | 9.12e-09 |  1.53e+06 | 1.00000000e+00
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |   12.1 |   17114 |    98 | 0.00e+00 |  4.08e-05 | 1.00000000e+00
  L  |   12.2 |   17196 |    98 | 0.00e+00 |  2.59e+03 | 1.00000000e+00
  L  |   12.4 |   17371 |    99 | 3.92e-03 |  4.73e+01 | 9.99474875e-01
  L  |   12.6 |   17493 |    99 | 2.94e-02 |  3.61e+02 | 9.97397095e-01
  L  |   12.8 |   17556 |   100 | 4.40e-02 |  1.25e+03 | 9.90776526e-01
  L  |   12.9 |   17627 |   100 | 1.79e-01 |  2.15e+01 | 5.41055939e-01
  L  |   13.1 |   17671 |   100 | 5.71e-01 |  6.97e+04 | 4.31233516e-01
  L  |   13.2 |   17724 |   101 | 9.11e-01 |  1.89e-01 | 2.07956602e-01
  L  |   13.3 |   17780 |   101 | 1.08e+00 |  4.43e+01 | -1.12924275e-02
  L  |   13.5 |   17817 |   101 | 1.44e+00 |  4.70e+01 | -1.59889365e-02
  L  |   13.6 |   17878 |   101 | 1.96e+00 |  7.26e+01 | -3.29739445e-02
  L  |   13.8 |   17905 |   101 | 2.35e+00 |  1.03e+02 | -4.52094057e-02
  L  |   13.9 |   17944 |   102 | 2.88e+00 |  1.18e+01 | -1.05228335e-01
  L  |   14.0 |   17982 |   102 | 4.00e+00 |  4.17e+02 | -1.40186888e-01
  L  |   14.2 |   18019 |   102 | 4.53e+00 |  4.37e+02 | -2.33980319e-01
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |   14.3 |   18063 |   102 | 5.98e+00 |  4.80e+02 | -3.41009815e-01
  L  |   14.4 |   18101 |   102 | 7.39e+00 |  5.45e+02 | -4.14970195e-01
  L  |   14.6 |   18139 |   103 | 7.71e+00 |  2.86e+02 | -1.32139294e+00
  L  |   14.7 |   18170 |   103 | 8.97e+00 |  6.63e+02 | -2.99208005e+00
  L  |   14.9 |   18204 |   103 | 1.12e+01 |  2.42e+03 | -1.61419711e+01
  L  |   15.0 |   18240 |   103 | 1.27e+01 |  9.39e+03 | -5.48209647e+01
  L  |   15.1 |   18279 |   103 | 1.33e+01 |  4.26e+04 | -2.21021110e+02
  L  |   15.3 |   18314 |   104 | 1.40e+01 |  2.58e-02 | -8.15041125e+02
  L  |   15.3 |   18321 |   105 | 1.52e+01 |  7.12e+02 | -8.16055182e+02

Switching simplification.
Simplifier removed 14185 rows, 14796 columns, 40247 nonzeros, 137 col bounds, 76790 row bounds
Reduced LP has 2791 rows 6629 columns 75837 nonzeros
Least squares LP scaling

 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |    0.0 |       0 |     1 | 0.00e+00 |  1.42e+04 | 1.00000000e+00
 --- active pricer: Devex
  L  |    0.0 |     137 |     1 | 0.00e+00 |  8.06e+03 | 1.00000000e+00
  L  |    0.0 |     337 |     2 | 0.00e+00 |  5.72e+04 | 1.00000000e+00
  L  |    0.0 |     537 |     3 | 0.00e+00 |  9.00e+04 | 1.00000000e+00
  L  |    0.0 |     737 |     4 | 0.00e+00 |  5.63e+04 | 1.00000000e+00
  L  |    0.1 |     937 |     6 | 5.25e-07 |  8.06e+04 | 1.00000121e+00
  L  |    0.1 |    1137 |     7 | 5.25e-07 |  2.29e+04 | 1.00000121e+00
  L  |    0.1 |    1337 |     9 | 1.63e-04 |  1.62e+04 | 1.00001142e+00
  L  |    0.2 |    1537 |    10 | 1.63e-04 |  1.19e+04 | 1.00000987e+00
  L  |    0.2 |    1737 |    11 | 1.63e-04 |  1.74e+04 | 1.00000844e+00
  L  |    0.2 |    1937 |    12 | 1.63e-04 |  1.88e+04 | 1.00000679e+00
  L  |    0.3 |    2137 |    13 | 1.63e-04 |  3.24e+02 | 1.00000660e+00
  L  |    0.3 |    2337 |    15 | 1.63e-04 |  8.36e+01 | 1.00000586e+00
  L  |    0.4 |    2537 |    16 | 1.63e-04 |  1.92e+02 | 1.00000537e+00
  L  |    0.5 |    2737 |    17 | 1.63e-04 |  9.83e+01 | 1.00000491e+00
  L  |    0.5 |    2937 |    18 | 4.97e-05 |  1.08e+02 | 1.00000396e+00
  L  |    0.6 |    3137 |    20 | 4.98e-05 |  8.77e+01 | 1.00000360e+00
  L  |    0.6 |    3337 |    21 | 5.01e-05 |  1.48e+02 | 1.00000343e+00
  L  |    0.7 |    3537 |    22 | 5.05e-05 |  1.27e+02 | 1.00000237e+00
  L  |    0.7 |    3737 |    23 | 5.06e-05 |  5.71e-01 | 1.00000169e+00
  L  |    0.8 |    3937 |    24 | 5.07e-05 |  1.71e-01 | 1.00000166e+00
  L  |    0.8 |    4137 |    25 | 5.07e-05 |  2.97e+00 | 1.00000164e+00
  L  |    0.8 |    4337 |    26 | 5.08e-05 |  2.96e-02 | 1.00000162e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.9 |    4537 |    27 | 5.08e-05 |  3.79e-02 | 1.00000161e+00
  L  |    0.9 |    4737 |    28 | 5.09e-05 |  5.56e-03 | 1.00000160e+00
  L  |    0.9 |    4937 |    29 | 5.09e-05 |  3.42e-03 | 1.00000159e+00
  L  |    1.0 |    5137 |    30 | 5.12e-05 |  2.50e-03 | 1.00000159e+00
  L  |    1.0 |    5337 |    31 | 5.13e-05 |  1.02e-03 | 1.00000158e+00
  L  |    1.1 |    5522 |    32 | 5.63e-05 |  8.63e+00 | 1.00000116e+00
  L  |    1.1 |    5594 |    33 | 3.17e-03 |  3.95e+01 | 9.99985402e-01
  L  |    1.2 |    5665 |    33 | 5.19e-03 |  1.05e+02 | 9.99048094e-01
  L  |    1.2 |    5701 |    33 | 1.36e-02 |  1.19e+03 | 9.94165871e-01
  L  |    1.3 |    5733 |    33 | 7.31e-02 |  1.33e+03 | -2.83987105e-01
  E  |    1.3 |    5737 |    34 | 0.00e+00 |  9.89e+03 | 0.00000000e+00
  E  |    1.3 |    5890 |    34 | 1.29e-05 |  1.01e+07 | 1.31896667e-04
  E  |    1.4 |    6090 |    35 | 1.29e-05 |  2.17e+06 | 2.43428072e-03
  E  |    1.4 |    6290 |    36 | 1.30e-05 |  9.62e+06 | 8.72671538e-03
  E  |    1.4 |    6385 |    37 | 2.82e-05 |  1.65e+07 | 1.00000000e+00
  E  |    1.5 |    6492 |    37 | 6.68e-05 |  1.65e+07 | 1.00000000e+00
  L  |    1.5 |    6524 |    38 | 0.00e+00 |  2.28e-04 | 1.00000000e+00
  L  |    1.5 |    6571 |    38 | 0.00e+00 |  1.59e-03 | 1.00000000e+00
  L  |    1.6 |    6771 |    39 | 2.24e-05 |  8.46e-02 | 1.00000109e+00
  L  |    1.6 |    6861 |    39 | 2.63e-03 |  4.70e+01 | 9.99999555e-01
  L  |    1.6 |    6901 |    39 | 2.63e-03 |  5.14e+02 | 6.83119988e-01
  E  |    1.7 |    6911 |    40 | 0.00e+00 |  6.03e+02 | 0.00000000e+00
  L  |    1.7 |    6933 |    41 | 7.13e-07 |  0.00e+00 | 0.00000000e+00
  E  |    1.7 |    6933 |    41 | 0.00e+00 |  2.44e-08 | 0.00000000e+00
  L  |    1.7 |    6939 |    42 | 3.01e-07 |  0.00e+00 | 0.00000000e+00
  E  |    1.7 |    6939 |    42 | 0.00e+00 |  8.33e-09 | 0.00000000e+00
  L  |    1.7 |    6947 |    43 | 6.27e-07 |  0.00e+00 | 0.00000000e+00
  E  |    1.7 |    6947 |    43 | 0.00e+00 |  1.55e-08 | 0.00000000e+00
Caught exception <XSOLVE14 Abort solving due to looping> while solving real LP.

Relaxing tolerances.
Least squares LP scaling

  E  |    0.0 |       0 |     1 | 9.80e+03 |  0.00e+00 | 1.00000000e+00
  L  |    0.0 |       0 |     1 | 0.00e+00 |  9.80e+03 | 1.00000000e+00
  L  |    0.0 |      10 |     1 | 0.00e+00 |  1.57e+03 | 1.00000000e+00
  L  |    0.0 |     210 |     2 | 0.00e+00 |  1.62e+03 | 1.00000000e+00
  L  |    0.0 |     410 |     3 | 0.00e+00 |  2.05e+03 | 1.00000000e+00
  L  |    0.1 |     610 |     4 | 0.00e+00 |  2.47e+03 | 1.00000000e+00
  L  |    0.1 |     810 |     5 | 0.00e+00 |  2.83e+03 | 1.00000000e+00
  L  |    0.1 |    1010 |     6 | 0.00e+00 |  1.99e+03 | 1.00000000e+00
  L  |    0.1 |    1210 |     7 | 0.00e+00 |  1.66e+03 | 1.00000000e+00
  L  |    0.1 |    1410 |     8 | 0.00e+00 |  1.27e+03 | 1.00000000e+00
  L  |    0.1 |    1610 |     9 | 0.00e+00 |  1.21e+03 | 1.00000000e+00
  L  |    0.1 |    1810 |    10 | 0.00e+00 |  7.09e+02 | 1.00000000e+00
  L  |    0.1 |    2010 |    11 | 0.00e+00 |  6.84e+02 | 1.00000000e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.1 |    2210 |    12 | 0.00e+00 |  7.08e+02 | 1.00000000e+00
  L  |    0.2 |    2410 |    13 | 0.00e+00 |  6.30e+02 | 1.00000000e+00
  L  |    0.2 |    2610 |    14 | 9.30e-02 |  1.33e+03 | 1.00218702e+00
  L  |    0.3 |    2810 |    15 | 9.30e-02 |  6.52e+02 | 1.00195475e+00
  L  |    0.3 |    3010 |    16 | 9.30e-02 |  3.42e+02 | 1.00151109e+00
  L  |    0.3 |    3210 |    17 | 9.31e-02 |  7.08e+02 | 1.00132086e+00
  L  |    0.3 |    3410 |    18 | 9.33e-02 |  1.80e+03 | 1.00113219e+00
  L  |    0.4 |    3610 |    19 | 9.34e-02 |  2.93e+02 | 1.00102280e+00
  L  |    0.4 |    3810 |    20 | 9.34e-02 |  1.36e+02 | 1.00085638e+00
  L  |    0.5 |    4010 |    21 | 9.35e-02 |  1.30e+02 | 1.00074609e+00
  L  |    0.5 |    4210 |    22 | 9.36e-02 |  9.51e+01 | 1.00066518e+00
  L  |    0.5 |    4410 |    23 | 9.37e-02 |  8.65e+01 | 1.00063565e+00
  L  |    0.6 |    4610 |    24 | 9.37e-02 |  6.18e+01 | 1.00059895e+00
  L  |    0.6 |    4810 |    25 | 9.38e-02 |  8.77e+01 | 1.00053851e+00
  L  |    0.7 |    5010 |    26 | 9.41e-02 |  6.03e+01 | 1.00051992e+00
  L  |    0.8 |    5210 |    27 | 9.42e-02 |  8.77e+01 | 1.00047620e+00
  L  |    0.8 |    5410 |    28 | 9.42e-02 |  8.82e+01 | 1.00044109e+00
  L  |    0.9 |    5610 |    29 | 9.44e-02 |  7.11e+01 | 1.00040109e+00
  L  |    1.0 |    5810 |    30 | 9.45e-02 |  5.29e+01 | 1.00035024e+00
  L  |    1.1 |    6010 |    31 | 9.47e-02 |  4.66e+01 | 1.00027459e+00
  L  |    1.1 |    6210 |    32 | 9.49e-02 |  1.85e+01 | 1.00018548e+00
  L  |    1.2 |    6410 |    33 | 9.50e-02 |  5.24e+01 | 1.00015842e+00
  L  |    1.3 |    6610 |    34 | 9.51e-02 |  6.04e+01 | 1.00008468e+00
  L  |    1.4 |    6810 |    35 | 9.53e-02 |  1.94e+01 | 1.00002109e+00
  L  |    1.4 |    7010 |    36 | 9.56e-02 |  1.76e+01 | 1.00002102e+00
  L  |    1.5 |    7210 |    37 | 9.60e-02 |  6.20e+00 | 1.00001973e+00
  L  |    1.6 |    7410 |    38 | 9.61e-02 |  2.53e+00 | 1.00001209e+00
  L  |    1.7 |    7610 |    39 | 9.62e-02 |  8.02e-01 | 1.00001086e+00
  L  |    1.8 |    7810 |    40 | 9.62e-02 |  2.14e-01 | 1.00001009e+00
  L  |    1.9 |    8010 |    41 | 9.63e-02 |  9.06e-02 | 1.00000977e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    2.0 |    8210 |    42 | 9.65e-02 |  6.50e-02 | 1.00000948e+00
  L  |    2.1 |    8410 |    43 | 9.66e-02 |  7.46e-02 | 1.00000914e+00
  L  |    2.2 |    8610 |    44 | 9.68e-02 |  1.52e-01 | 1.00000886e+00
  L  |    2.3 |    8810 |    45 | 9.68e-02 |  2.64e-02 | 1.00000848e+00
  L  |    2.4 |    9010 |    46 | 9.72e-02 |  9.82e-03 | 1.00000820e+00
  L  |    2.5 |    9210 |    47 | 9.72e-02 |  1.06e-02 | 1.00000777e+00
  L  |    2.7 |    9410 |    48 | 9.73e-02 |  6.40e-03 | 1.00000739e+00
  L  |    2.8 |    9610 |    49 | 9.73e-02 |  3.91e-03 | 1.00000684e+00
  L  |    2.9 |    9810 |    50 | 9.74e-02 |  2.03e-03 | 1.00000669e+00
 --- initializing steepest edge multipliers
 --- active pricer: SteepEx
  L  |    3.6 |   10010 |    51 | 9.74e-02 |  8.38e-03 | 1.00000665e+00
  L  |    3.8 |   10210 |    52 | 9.75e-02 |  9.14e-03 | 1.00000622e+00
  L  |    4.0 |   10410 |    53 | 9.77e-02 |  3.24e-02 | 1.00000591e+00
  L  |    4.2 |   10610 |    54 | 9.77e-02 |  2.09e-01 | 1.00000544e+00
  L  |    4.4 |   10810 |    55 | 9.79e-02 |  1.58e-01 | 1.00000523e+00
  L  |    4.5 |   11010 |    56 | 9.79e-02 |  2.72e-03 | 1.00000467e+00
  L  |    4.6 |   11210 |    57 | 9.81e-02 |  5.17e-02 | 1.00000462e+00
  L  |    4.8 |   11410 |    58 | 9.81e-02 |  3.72e-02 | 1.00000430e+00
  L  |    4.9 |   11610 |    59 | 9.81e-02 |  2.74e-01 | 1.00000420e+00
  L  |    5.0 |   11810 |    60 | 9.81e-02 |  5.89e-02 | 1.00000396e+00
  L  |    5.1 |   12010 |    61 | 9.81e-02 |  2.68e-03 | 1.00000378e+00
  L  |    5.2 |   12210 |    62 | 9.82e-02 |  8.78e-03 | 1.00000350e+00
  L  |    5.4 |   12410 |    63 | 9.82e-02 |  1.26e-01 | 1.00000344e+00
  L  |    5.7 |   12610 |    64 | 9.83e-02 |  1.13e-02 | 1.00000338e+00
  L  |    5.9 |   12810 |    65 | 9.85e-02 |  8.94e-03 | 1.00000329e+00
  L  |    6.1 |   13010 |    66 | 9.86e-02 |  9.73e-04 | 1.00000326e+00
 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  E  |    6.3 |   13167 |    67 | 0.00e+00 |  0.00e+00 | 1.00000000e+00
  E  |    6.3 |   13167 |    67 | 0.00e+00 |  0.00e+00 | 1.00000000e+00

Floating-point optimal.
Max. bound violation = 6308786364837733/4611686018427387904
Max. row violation = 6308786364837733/4611686018427387904
Max. reduced cost violation = 0
Max. dual violation = 0
Performing rational reconstruction . . .
Reconstructed solution primal infeasible (1).
Refined floating-point solve . . .

 --- initializing steepest edge multipliers
 --- initializing steepest edge multipliers
  L  |    1.3 |       0 |     1 | 0.00e+00 |  1.31e+01 | 0.00000000e+00
 --- active pricer: Devex
  L  |    1.3 |      38 |     1 | 0.00e+00 |  1.76e+06 | 0.00000000e+00
  L  |    1.5 |     200 |     9 | 0.00e+00 |  1.31e+01 | 0.00000000e+00
  L  |    1.5 |     200 |     9 | 0.00e+00 |  1.31e+01 | 0.00000000e+00
  L  |    1.6 |     363 |     9 | 0.00e+00 |  1.87e+08 | 0.00000000e+00
Caught exception <Basis is singular (numerical troubles, feastol = 1e-09, opttol = 1e-11)> while solving real LP.

Numerical troubles during floating-point solve.
Turning off preprocessing.

  L  |    0.0 |       0 |     1 | 0.00e+00 |  1.46e+09 | 0.00000000e+00
  L  |    0.0 |     162 |     2 | 0.00e+00 |  1.73e+09 | 0.00000000e+00
  L  |    0.0 |     362 |     3 | 0.00e+00 |  1.83e+09 | 0.00000000e+00
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    0.0 |     562 |     4 | 0.00e+00 |  1.87e+09 | 0.00000000e+00
  L  |    0.0 |     762 |     5 | 0.00e+00 |  1.58e+09 | 0.00000000e+00
  L  |    0.0 |     962 |     6 | 0.00e+00 |  1.58e+09 | 0.00000000e+00
  L  |    0.1 |    1162 |     7 | 0.00e+00 |  1.61e+09 | 0.00000000e+00
  L  |    0.1 |    1362 |     8 | 0.00e+00 |  1.37e+09 | 0.00000000e+00
  L  |    0.1 |    1562 |     9 | 0.00e+00 |  1.21e+09 | 0.00000000e+00
  L  |    0.1 |    1762 |    10 | 0.00e+00 |  1.34e+09 | 0.00000000e+00
  L  |    0.1 |    1961 |    11 | 4.13e-06 |  8.62e+08 | 2.24485592e-02
  L  |    0.1 |    2161 |    12 | 7.63e-06 |  7.25e+08 | 2.45983851e-01
  L  |    0.1 |    2361 |    13 | 7.63e-06 |  7.13e+08 | 2.34992589e-01
  L  |    0.1 |    2560 |    14 | 7.64e-06 |  1.02e+09 | 2.32964174e-01
  L  |    0.2 |    2760 |    15 | 1.61e-04 |  3.69e+11 | 2.92958339e+00
  L  |    0.2 |    2959 |    16 | 1.61e-04 |  3.72e+08 | 2.55449394e+00
  L  |    0.2 |    3159 |    17 | 1.61e-04 |  2.38e+11 | 2.42725604e+00
  L  |    0.3 |    3359 |    18 | 1.61e-04 |  7.45e+08 | 2.32558281e+00
  L  |    0.3 |    3558 |    19 | 1.61e-04 |  3.97e+09 | 2.26086707e+00
  L  |    0.4 |    3757 |    20 | 1.75e-04 |  4.47e+08 | -2.90716034e+00
  L  |    0.4 |    3955 |    21 | 2.57e-04 |  3.74e+11 | -2.06180290e+01
  L  |    0.5 |    4153 |    22 | 3.76e-04 |  4.17e+08 | -8.71983575e+00
  L  |    0.5 |    4353 |    23 | 4.35e-04 |  3.28e+08 | -1.88365998e+00
  L  |    0.6 |    4549 |    24 | 5.06e-04 |  2.18e+08 | -3.38324753e+00
  L  |    0.6 |    4746 |    25 | 6.13e-04 |  2.56e+08 | -1.76328588e+00
  L  |    0.7 |    4943 |    26 | 7.05e-04 |  2.71e+08 | 8.57672593e+00
  L  |    0.8 |    5142 |    27 | 1.45e-03 |  9.23e+08 | 2.39593029e+01
  L  |    0.8 |    5341 |    28 | 1.47e-03 |  6.64e+09 | 2.37088838e+01
  L  |    0.9 |    5536 |    29 | 1.54e-03 |  2.32e+08 | 2.06060944e+01
  L  |    0.9 |    5733 |    30 | 1.60e-03 |  2.68e+08 | 2.04337038e+01
  L  |    1.0 |    5932 |    31 | 1.67e-03 |  1.60e+14 | 1.64428875e+01
  L  |    1.0 |    6132 |    32 | 1.69e-03 |  3.47e+08 | 1.61249474e+01
  L  |    1.1 |    6331 |    33 | 1.73e-03 |  1.04e+09 | 1.99386458e+01
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    1.2 |    6527 |    34 | 1.84e-03 |  1.89e+08 | 1.86460219e+01
  L  |    1.2 |    6725 |    35 | 1.93e-03 |  7.89e+07 | 1.90708876e+01
  L  |    1.3 |    6922 |    36 | 2.01e-03 |  1.05e+08 | 2.04252015e+01
  L  |    1.4 |    7119 |    37 | 2.13e-03 |  4.67e+07 | 1.83186557e+01
  L  |    1.4 |    7318 |    38 | 2.20e-03 |  7.54e+07 | 1.47379368e+01
  L  |    1.5 |    7518 |    39 | 2.30e-03 |  3.35e+08 | 1.92992457e+01
  L  |    1.5 |    7718 |    40 | 2.34e-03 |  5.58e+07 | 1.90809077e+01
  L  |    1.6 |    7917 |    41 | 2.39e-03 |  5.68e+07 | 2.38383304e+01
  L  |    1.6 |    8117 |    42 | 2.45e-03 |  8.59e+07 | 2.87162883e+01
  L  |    1.7 |    8317 |    43 | 2.46e-03 |  3.60e+09 | 2.44464655e+01
  L  |    1.7 |    8517 |    44 | 2.46e-03 |  2.23e+07 | 2.44431087e+01
  L  |    1.8 |    8716 |    45 | 2.49e-03 |  1.68e+11 | 2.38150232e+01
  L  |    1.9 |    8916 |    47 | 2.49e-03 |  3.04e+10 | 2.38145302e+01
  L  |    2.0 |    9116 |    50 | 2.49e-03 |  6.18e+07 | 2.38145302e+01
  L  |    2.1 |    9316 |    53 | 2.49e-03 |  1.16e+07 | 2.38092518e+01
  L  |    2.1 |    9516 |    54 | 2.50e-03 |  1.10e+08 | 2.37826449e+01
  L  |    2.2 |    9716 |    55 | 2.50e-03 |  7.38e+10 | 2.37826450e+01
  L  |    2.3 |    9916 |    56 | 2.51e-03 |  1.61e+08 | 2.37826450e+01
 --- initializing steepest edge multipliers
 --- active pricer: SteepEx
  L  |    3.0 |   10115 |    57 | 2.52e-03 |  6.19e+12 | 2.37472188e+01
  L  |    3.2 |   10315 |    58 | 2.52e-03 |  2.05e+13 | 2.32766961e+01
  L  |    3.3 |   10515 |    59 | 2.52e-03 |  2.27e+13 | 2.31683345e+01
  L  |    3.5 |   10715 |    60 | 2.52e-03 |  1.85e+13 | 2.30841960e+01
  L  |    3.6 |   10915 |    61 | 2.52e-03 |  1.69e+13 | 2.30707878e+01
  L  |    3.8 |   11115 |    62 | 2.52e-03 |  1.50e+13 | 2.30582350e+01
  L  |    3.9 |   11315 |    63 | 2.52e-03 |  4.58e+10 | 2.29960998e+01
  L  |    4.1 |   11515 |    64 | 2.52e-03 |  1.46e+13 | 2.29061869e+01
  L  |    4.3 |   11715 |    65 | 2.52e-03 |  1.45e+13 | 2.27688625e+01
  L  |    4.5 |   11915 |    66 | 2.53e-03 |  2.25e+13 | 2.25603113e+01
  L  |    4.6 |   12115 |    67 | 2.53e-03 |  2.36e+10 | 2.17462443e+01
  L  |    4.8 |   12315 |    68 | 2.54e-03 |  1.63e+12 | 1.41717773e+01
type |   time |   iters | facts |    shift | violation |     obj value 
  L  |    5.0 |   12515 |    69 | 2.54e-03 |  1.61e+12 | 1.35353806e+01
  L  |    5.2 |   12715 |    70 | 2.56e-03 |  1.46e+08 | 1.07366422e+01
  L  |    5.4 |   12915 |    71 | 2.56e-03 |  1.96e+11 | 1.03048150e+01
  L  |    5.6 |   13115 |    72 | 2.56e-03 |  1.40e+11 | 1.01963380e+01
  L  |    5.7 |   13315 |    73 | 2.56e-03 |  1.27e+11 | 1.00156930e+01
  L  |    5.9 |   13511 |    74 | 2.62e-03 |  2.39e+11 | 4.67036335e+00
  L  |    6.1 |   13706 |    75 | 2.87e-03 |  5.81e+08 | 1.19262233e+01
  L  |    6.4 |   13899 |    76 | 3.14e-03 |  1.52e+08 | 1.09167602e+01
  L  |    6.6 |   14093 |    77 | 3.52e-03 |  3.11e+08 | 4.51343129e+00
  L  |    6.8 |   14286 |    78 | 3.73e-03 |  2.05e+06 | 4.52791913e+00
  L  |    7.0 |   14482 |    79 | 3.88e-03 |  1.92e+06 | 4.52241729e+00
  L  |    7.2 |   14671 |    80 | 4.08e-03 |  1.69e+06 | 4.41478197e+00
  L  |    7.5 |   14857 |    81 | 4.27e-03 |  5.03e+06 | 4.50542753e+00
  L  |    7.7 |   15039 |    82 | 4.59e-03 |  3.19e+05 | 4.13681546e+00
  L  |    7.9 |   15211 |    82 | 4.76e-03 |  6.06e+04 | 3.81767104e+00
  L  |    8.1 |   15383 |    83 | 5.58e-03 |  5.62e+04 | 3.34912953e+00
  L  |    8.3 |   15552 |    84 | 7.13e-03 |  7.53e+04 | 3.74200593e+00
  L  |    8.5 |   15731 |    85 | 9.00e-03 |  9.25e+04 | 3.45167726e+00
  L  |    8.8 |   15901 |    86 | 1.09e-02 |  7.65e+04 | 2.90919209e+00
  L  |    8.9 |   16015 |    87 | 2.79e-02 |  1.45e+04 | -5.01675915e+00
  L  |    9.1 |   16106 |    87 | 1.05e-01 |  2.11e+04 | -2.55839898e+01
  L  |    9.3 |   16219 |    88 | 4.94e-01 |  1.31e+04 | -7.53819283e+01
  L  |    9.5 |   16307 |    88 | 7.86e-01 |  1.59e+04 | -1.45251931e+02
  L  |    9.7 |   16407 |    88 | 1.33e+00 |  3.02e+04 | 2.71233871e+01
  L  |    9.8 |   16466 |    89 | 1.48e+00 |  6.66e+03 | -1.39612672e+02
  L  |    9.9 |   16536 |    89 | 1.59e+00 |  4.53e+02 | 6.38566385e+01
  L  |   10.1 |   16592 |    89 | 1.60e+00 |  2.56e+05 | -5.67738775e+02
